10,96,5.544871504
50,96,5.544871504
100,96,5.544871504
1000,96,5.544871504
1500,96,5.544871504
5000,96,5.544871504
10000,90,5.381449619
20000,80,5.12249939
30000,72,4.928934976
40000,64,4.749063065
50000,52,4.508480897
60000,48,2.772435752
70000,44,2.664132129
80000,40,2.561249695
90000,36,2.464467488
100000,32,2.374531533
110000,30,2.332380758
125000,28,2.292247805
150000,22,2.185040045
175000,20,2.154065923
200000,17,2.112439348
250000,14,2.076920798
300000,11,2.047828118
350000,10,2.039607805
400000,9,2.032141727
500000,7,2.01950489
1000000,3.2,2.004091814
